NOTATION,INSPECTION AREA,STREET_NO,STREET_NAME,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,ADDRESS,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,NUMBER_KEY,COMMUNITY_CODE,COMMUNITY,ESRI_OID,
CONDEMNATION,1140,1261,DEWEY AV,ORDERS  ,CBHCODE ,  ,1261 DEWEY AV,VACANT  ,N,1377774,413449,017900740046      ,B201806926,46,WEST PRICE HILL,461,
KEEP THE BUILDING VACANT,1140,1275,DEWEY AV,FINLNOTC,CBHCODE ,  ,1275 DEWEY AV,VACANT  ,N,1377814,413625,017900740007      ,B201804500,46,WEST PRICE HILL,462,
CONDEMNATION,1150,1673,DEWEY AV,HAZARD  ,CBHCODE ,  ,1673 DEWEY AV,VACANT  ,N,1377903,414675,018100010275      ,B201609341,46,WEST PRICE HILL,463,
KEEP THE BUILDING VACANT,0480,1608,DEXTER AV,DUPLICAT,CBHCODE ,  ,1608 DEXTER AV,VACANT  ,N,1408156,419232,005500040023      ,B201905339,11,EVANSTON,464,
KEEP THE BUILDING VACANT,0480,1608,DEXTER AV,INTAKE  ,CBHCODE ,  ,1608 DEXTER AV,VACANT  ,N,1408156,419232,005500040023      ,B201907836,11,EVANSTON,465,
KEEP THE BUILDING VACANT,0480,1608,DEXTER AV,ORDERS  ,CBHCODE ,  ,1608 DEXTER AV,VACANT  ,N,1408156,419232,005500040023      ,B201902896,11,EVANSTON,466,
CONDEMNATION,0480,1720,DEXTER AV,VSUSPEND,CBHCODE ,  ,1720 DEXTER AV,VACANT  ,N,1408780,419154,005500040086      ,B201902902,11,EVANSTON,467,
KEEP THE BUILDING VACANT,0750,7108,DILLWARD ST,FINLNOTC,CBHCODE ,  ,7108 DILLWARD ST,VACANT  ,N,1405918,441864,023900020143      ,B201802259,20,CARTHAGE,468,
KEEP THE BUILDING VACANT,0470,1512,DIXMONT AV,ORDERS  ,CBHCODE ,  ,1512 DIXMONT AV,VACANT  ,N,1407113,420534,005500010004      ,B201906944,11,EVANSTON,469,
KEEP THE BUILDING VACANT,0480,1579,DIXMONT AV,ORDERS  ,CBHCODE ,  ,1579 DIXMONT AV,VACANT  ,N,1407763,420289,005500010049      ,B201905387,11,EVANSTON,470,
KEEP THE BUILDING VACANT,0890,4738,DOBERRER AV,ORDERS  ,CBHCODE ,  ,4738 DOBERRER AV,VACANT  ,N,1396797,434986,021900510086      ,B201503816,40,SPRING GROVE VILLAGE,471,
KEEP THE BUILDING VACANT,0260,128,DORSEY ST,CIVIL1  ,CBHCODE ,  ,128 DORSEY ST,VACANT  ,N,1397379,413478,009400060125      ,B201905027,24,MT AUBURN,472,
CONDEMNATION,0620,2493,DOWNING DR,ORDERS  ,CBHCODE ,  ,2493 DOWNING DR,VACANT  ,N,1414910,423248,004200100011      ,B201907521,36,HYDE PARK,473,
KEEP THE BUILDING VACANT,0820,3325,DREXEL PL,VSUSPEND,CBHCODE ,  ,3325 DREXEL PL,VACANT  ,N,1404191,421637,010500030072      ,B201703891,31,AVONDALE,474,
CONDEMNATION,0470,1834,DUCK CREEK RD,CIVIL2  ,CBHCODE ,  ,1834 DUCK CREEK RD,VACANT  ,N,1410601,421857,005800010057      ,B201401681,11,EVANSTON,475,
KEEP THE BUILDING VACANT,0480,3136,DURRELL AV,FINLNOTC,CBHCODE ,  ,3136 DURRELL AV,VACANT  ,N,1407471,419971,005500010057      ,B201902526,11,EVANSTON,476,
KEEP THE BUILDING VACANT,0890,622,EAST EPWORTH AV,VSUSPEND,CBHCODE ,  ,622 EAST EPWORTH AV,VACANT  ,N,1397261,433841,022000570018      ,B201904739,40,SPRING GROVE VILLAGE,477,
CONDEMNATION,0680,4812,JAMESON ST,PETITION,CBHCODE ,  ,4812 JAMESON ST,VACANT  ,N,1434538,427327,003700030099      ,B201807390,50,MADISONVILLE,478,
KEEP THE BUILDING VACANT,0680,4927,JAMESON ST,CIVIL2  ,CBHCODE ,  ,4927 JAMESON ST,VACANT  ,N,1434459,427767,003700030081      ,B201508185,50,MADISONVILLE,479,
KEEP THE BUILDING VACANT,0470,1537,JONATHAN AV,ORDERS  ,CBHCODE ,  ,1537 JONATHAN AV,VACANT  ,N,1407952,422313,005800020021      ,B201907483,11,EVANSTON,480,
CONDEMNATION,0470,1623,JONATHAN AV,DUPLICAT,CBHCODE ,  ,1623 JONATHAN AV,VACANT  ,N,1408605,422254,005800050009      ,B201904469,11,EVANSTON,481,
KEEP THE BUILDING VACANT,0470,1623,JONATHAN AV,ORDERS  ,CBHCODE ,  ,1623 JONATHAN AV,VACANT  ,N,1408605,422254,005800050009      ,B201906600,11,EVANSTON,482,
CONDEMNATION,0470,1627,JONATHAN AV,CIVIL2  ,CBHCODE ,  ,1627 JONATHAN AV,VACANT  ,N,1408644,422249,005800050010      ,B201503181,11,EVANSTON,483,
CONDEMNATION,0470,1656,JONATHAN AV,FINLNOTC,CBHCODE ,  ,1656 JONATHAN AV,VACANT  ,N,1409262,422315,005800060013      ,B201807561,11,EVANSTON,484,
CONDEMNATION,0710,6110,KENNEDY AV,VSUSPEND,CBHCODE ,  ,6110 KENNEDY AV,VACANT  ,N,1425978,436386,012900040022      ,B201504425,13,KENNEDY HEIGHTS,485,
KEEP THE BUILDING VACANT,0970,5721,KENNETH AV,ORDERS  ,CBHCODE ,  ,5721 KENNETH AV,VACANT  ,N,1390312,441964,023600020097      ,B201904174,42,COLLEGE HILL,486,
KEEP THE BUILDING VACANT,0760,1443,KENOVA AV,FINLNOTC,CBHCODE ,  ,1443 KENOVA AV,VACANT  ,N,1411654,440463,01170A070403      ,B201803714,22,ROSELAWN,487,
KEEP THE BUILDING VACANT,1120,3422,KENSINGTON PL,CIVIL2  ,CBHCODE ,  ,3422 KENSINGTON PL,VACANT  ,N,1382131,410810,017500180238      ,B201608659,9,EAST PRICE HILL,488,
CONDEMNATION,1120,3426,KENSINGTON PL,HAZARD  ,CBHCODE ,  ,3426 KENSINGTON PL,VACANT  ,N,1382050,410828,017500180174      ,B201900062,9,EAST PRICE HILL,489,
CONDEMNATION,0230,2320,KENTON ST,HAZARD  ,CBHCODE ,  ,2320 KENTON ST,VACANT  ,N,1402790,415382,006800030020      ,B201502751,29,WALNUT HILLS,490,
KEEP THE BUILDING VACANT,0230,2329,KENTON ST,VSUSPEND,CBHCODE ,  ,2329 KENTON ST,VACANT  ,N,1402672,415493,006800020141      ,B201902675,29,WALNUT HILLS,491,
CONDEMNATION,0230,2404,KENTON ST,ORDERS  ,CBHCODE ,  ,2404 KENTON ST,VACANT  ,N,1402843,415951,006800030057      ,B201907326,29,WALNUT HILLS,492,
CONDEMNATION,0230,2404,KENTON ST,CRIMINAL,CBHCODE ,  ,2404 KENTON ST,VACANT  ,N,1402843,415951,006800030057      ,B201306071,29,WALNUT HILLS,493,
CONDEMNATION,0230,2406,KENTON ST,HAZARD  ,CBHCODE ,  ,2406 KENTON ST,VACANT  ,N,1402847,415976,006800030058      ,B201706189,29,WALNUT HILLS,494,
KEEP THE BUILDING VACANT,0230,2415,KENTON ST,ORDERS  ,CBHCODE ,  ,2415 KENTON ST,VACANT  ,N,1402733,416087,006800020288      ,B201907328,29,WALNUT HILLS,495,
KEEP THE BUILDING VACANT,0230,2417,KENTON ST,FINLNOTC,CBHCODE ,  ,2417 KENTON ST,VACANT  ,N,1402770,416104,006800020289      ,B201804825,29,WALNUT HILLS,496,
CONDEMNATION,0670,5222,KENWOOD RD,CIVIL2  ,CBHCODE ,  ,5222 KENWOOD RD,VACANT  ,N,1433999,429133,003500040041      ,B201702600,50,MADISONVILLE,497,
CONDEMNATION,0480,1702,KINNEY AV,ORDERS  ,CBHCODE ,  ,1702 KINNEY AV,VACANT  ,N,1408671,420135,005400050065      ,B201608547,11,EVANSTON,498,
KEEP THE BUILDING VACANT,0480,1711,KINNEY AV,ORDERS  ,CBHCODE ,  ,1711 KINNEY AV,VACANT  ,N,1408767,419949,005500040120      ,B201808130,11,EVANSTON,499,
CONDEMNATION,0480,1724,KINNEY AV,ORDERS  ,CBHCODE ,  ,1724 KINNEY AV,VACANT  ,N,1408945,420121,005400050074      ,B201802001,11,EVANSTON,500,
KEEP THE BUILDING VACANT,0480,1850,KINNEY AV,ORDERS  ,CBHCODE ,  ,1850 KINNEY AV,VACANT  ,N,1409856,420024,005400040161      ,B201903712,11,EVANSTON,501,
KEEP THE BUILDING VACANT,0480,1868,KINNEY AV,FINLNOTC,CBHCODE ,  ,1868 KINNEY AV,VACANT  ,N,1410090,419982,005400040156      ,B201705967,11,EVANSTON,502,
KEEP THE BUILDING VACANT,0480,1869,KINNEY AV,ORDERS  ,CBHCODE ,  ,1869 KINNEY AV,VACANT  ,N,1410026,419808,005400010105      ,B201907835,11,EVANSTON,503,
CONDEMNATION,0480,1951,KINNEY AV,ORDERS  ,CBHCODE ,  ,1951 KINNEY AV,VACANT  ,N,1410896,419740,005400020013      ,B201806786,11,EVANSTON,504,
KEEP THE BUILDING VACANT,0240,140,KINSEY AV,ORDERS  ,CBHCODE ,  ,140 KINSEY AV,VACANT  ,N,1399375,416335,008900040062      ,B201806117,24,MT AUBURN,505,
KEEP THE BUILDING VACANT,1000,2645,KIPLING AV,FINLNOTC,CBHCODE ,  ,2645 KIPLING AV,VACANT  ,N,1379428,444057,023100020002      ,B201401990,43,MT AIRY,506,
KEEP THE BUILDING VACANT,0930,4124,KIRBY AV,CIVIL1  ,CBHCODE ,  ,4124 KIRBY AV,VACANT  ,N,1387972,430295,019500280017      ,B201701884,2,NORTHSIDE,507,
KEEP THE BUILDING VACANT,0930,4140,KIRBY AV,CIVIL2  ,CBHCODE ,  ,4140 KIRBY AV,VACANT  ,N,1388052,430473,019500280011      ,B201201052,2,NORTHSIDE,508,
CONDEMNATION,0930,4229,KIRBY AV,FINLNOTC,CBHCODE ,  ,4229 KIRBY AV,VACANT  ,N,1388090,431084,019500300019      ,B201609384,2,NORTHSIDE,509,
KEEP THE BUILDING VACANT,0940,4520,KIRBY AV,PETITION,CBHCODE ,  ,4520 KIRBY AV,VACANT  ,N,1388270,432988,019700390045      ,B201502469,2,NORTHSIDE,510,
CONDEMNATION,0940,4532,KIRBY AV,FINLNOTC,CBHCODEC,  ,4532 KIRBY AV,VACANT  ,N,1388253,433152,019700390001      ,BC20180054,2,NORTHSIDE,511,
KEEP THE BUILDING VACANT,1010,4646,KIRBY AV,CIVIL1  ,CBHCODE ,  ,4646 KIRBY AV,VACANT  ,N,1387904,434561,020000460028      ,B201704035,2,COLLEGE HILL,512,
CONDEMNATION,0940,4649,KIRBY AV,CRIMPREP,CBHCODE ,  ,4649 KIRBY AV,VACANT  ,N,1387736,434498,019800440023      ,B201609515,2,NORTHSIDE,513,
KEEP THE BUILDING VACANT,1070,2504,KNORR AV,ORDERS  ,CBHCODE ,  ,2504 KNORR AV,VACANT  ,N,1382149,418709,020600080037      ,B201904280,44,S FAIRMOUNT,514,
KEEP THE BUILDING VACANT,1070,2603,KNORR AV,FINLNOTC,CBHCODE ,  ,2603 KNORR AV,VACANT  ,N,1382066,419168,020600080018      ,B201500928,44,S FAIRMOUNT,515,
CONDEMNATION,0900,1311,KNOWLTON ST,ORDERS  ,CBHCODE ,  ,1311 KNOWLTON ST,VACANT  ,N,1392080,429422,022100190153      ,B201707631,2,NORTHSIDE,516,
KEEP THE BUILDING VACANT,1040,1546,KNOX ST,DUPLICAT,CBHCODE ,  ,1546 KNOX ST,VACANT  ,N,1388071,417742,020200320063      ,B201507488,44,N FAIRMONT-ENGLISH WOODS,517,
CONDEMNATION,1040,1546,KNOX ST,HAZARD  ,CBHCODE ,  ,1546 KNOX ST,VACANT  ,N,1388071,417742,020200320063      ,B200806098,44,N FAIRMONT-ENGLISH WOODS,518,
KEEP THE BUILDING VACANT,1070,1849,KNOX ST,FINLNOTC,CBHCODE ,  ,1849 KNOX ST,VACANT  ,N,1385077,417943,020300280210      ,B201902999,44,S FAIRMOUNT,519,
CONDEMNATION,1070,1854,KNOX ST,ORDERS  ,CBHCODE ,  ,1854 KNOX ST,VACANT  ,N,1384992,418094,020300280093      ,B201903674,44,S FAIRMOUNT,520,
CONDEMNATION,1070,1862,KNOX ST,PETITION,CBHCODE ,  ,1862 KNOX ST,VACANT  ,N,1384892,418105,020300280096      ,B201500976,44,S FAIRMOUNT,521,
KEEP THE BUILDING VACANT,1070,1871,KNOX ST,CIVIL2  ,CBHCODE ,  ,1871 KNOX ST,VACANT  ,N,1384775,417957,020300280189      ,B201603797,44,S FAIRMOUNT,522,
KEEP THE BUILDING VACANT,1070,1877,KNOX ST,FINLNOTC,CBHCODE ,  ,1877 KNOX ST,VACANT  ,N,1384693,417943,020300280186      ,B201609462,44,S FAIRMOUNT,523,
KEEP THE BUILDING VACANT,1070,1882,KNOX ST,CIVIL2  ,CBHCODE ,  ,1882 KNOX ST,VACANT  ,N,1384646,418166,020300280107      ,B201405250,44,S FAIRMOUNT,524,
KEEP THE BUILDING VACANT,1070,1918,KNOX ST,FINLNOTC,CBHCODE ,  ,1918 KNOX ST,VACANT  ,N,1384312,418158,020300280118      ,B201702257,44,S FAIRMOUNT,525,
CONDEMNATION,1070,1936,KNOX ST,ORDERS  ,CBHCODE ,  ,1936 KNOX ST,VACANT  ,N,1384115,418193,020300280126      ,B201905872,44,S FAIRMOUNT,526,
KEEP THE BUILDING VACANT,1170,847,KREIS LN,ORDERS  ,CBHCODE ,  ,847 KREIS LN,VACANT  ,N,1375509,410844,017900780441      ,B201906032,46,WEST PRICE HILL,527,
KEEP THE BUILDING VACANT,1170,851,KREIS LN,CIVIL2  ,CBHCODE ,  ,851 KREIS LN,VACANT  ,N,1375516,410887,017900780446      ,B201204182,46,WEST PRICE HILL,528,
CONDEMNATION,1110,3609,LACLEDE AV,CIVIL1  ,CBHCODE ,  ,3609 LACLEDE AV,VACANT  ,N,1380966,411637,017400080188      ,B201802613,9,EAST PRICE HILL,529,
KEEP THE BUILDING VACANT,1110,3619,LACLEDE AV,ORDERS  ,CBHCODE ,  ,3619 LACLEDE AV,VACANT  ,N,1380835,411642,017400080183      ,B201807364,9,EAST PRICE HILL,530,
KEEP THE BUILDING VACANT,1110,3623,LACLEDE AV,ORDERS  ,CBHCODE ,  ,3623 LACLEDE AV,VACANT  ,N,1380785,411656,017400080181      ,B201907256,9,EAST PRICE HILL,531,
CONDEMNATION,1110,3640,LACLEDE AV,DUPLICAT,CBHCODE ,  ,3640 LACLEDE AV,VACANT  ,N,1380640,411828,017400080150      ,B201604490,9,EAST PRICE HILL,532,
KEEP THE BUILDING VACANT,0790,1220,LAIDLAW AV,PETITION,CBHCODE ,  ,1220 LAIDLAW AV,VACANT  ,N,1408241,435157,013100060122      ,B201903651,19,BOND HILL,533,
KEEP THE BUILDING VACANT,0190,1706,LANG ST,VSUSPEND,CBHCODEC,  ,1706 LANG ST,VACANT  ,N,1397077,412440,009400070354      ,BC20180702,28,OVER-THE-RHINE,534,
KEEP THE BUILDING VACANT,0190,1713,LANG ST,CIVIL1  ,CBHCODE ,  ,1713 LANG ST,VACANT  ,N,1397090,412569,009400050281      ,B201904007,28,OVER-THE-RHINE,535,
KEEP THE BUILDING VACANT,0190,1805,LANG ST,PREPROS ,CBHCODE ,  ,1805 LANG ST,VACANT  ,N,1397238,412688,009400050257      ,B201402151,28,OVER-THE-RHINE,536,
CONDEMNATION,1110,3618,LASALLE ST,HAZARD  ,CBHCODE ,  ,3618 LASALLE ST,VACANT  ,N,1380877,412073,017400080137      ,B201303245,9,EAST PRICE HILL,537,
CONDEMNATION,1110,3620,LASALLE ST,HAZARD  ,CBHCODE ,  ,3620 LASALLE ST,VACANT  ,N,1380832,412058,017400080138      ,B201303247,9,EAST PRICE HILL,538,
CONDEMNATION,0700,2849,LAWNDALE AV,ORDERS  ,CBHCODE ,  ,2849 LAWNDALE AV,VACANT  ,N,1419947,433969,012100010331      ,B201906178,14,PLEASANT RIDGE,539,
CONDEMNATION,0940,4232,LEEPER ST,ORDERS  ,CBHCODE ,  ,4232 LEEPER ST,VACANT  ,N,1386577,431955,019500320031      ,B201907943,2,NORTHSIDE,540,
KEEP THE BUILDING VACANT,0970,5947,LEFFINGWELL AV,ORDERS  ,CBHCODE ,  ,5947 LEFFINGWELL AV,VACANT  ,N,1390862,443421,023500030142      ,B201904177,42,COLLEGE HILL,541,
KEEP THE BUILDING VACANT,1230,3463,LELAND AV,CIVIL1  ,CBHCODE ,  ,3463 LELAND AV,VACANT  ,N,1376444,401135,015700600109      ,B201904017,49,SEDAMSVILLE-RIVERSIDE,542,
CONDEMNATION,0700,5314,LESTER RD,CIVIL1  ,CBHCODE ,  ,5314 LESTER RD,VACANT  ,N,1420723,432129,012300030034      ,B201704687,14,PLEASANT RIDGE,543,
VACATE THE BUILDING,0700,5623,LESTER RD,ORDERS  ,CBHCODE ,  ,5623 LESTER RD,VACANT  ,N,1420794,434045,012100050043      ,B201906493,14,PLEASANT RIDGE,544,
CONDEMNATION,0700,5623,LESTER RD,ORDERS  ,CBHCODE ,  ,5623 LESTER RD,VACANT  ,N,1420794,434045,012100050043      ,B201906493,14,PLEASANT RIDGE,544,
KEEP THE BUILDING VACANT,0810,840,LEXINGTON AV,VSUSPEND,CBHCODE ,  ,840 LEXINGTON AV,VACANT  ,N,1404770,423677,010800010040      ,B201602817,31,AVONDALE,545,
KEEP THE BUILDING VACANT,0810,846,LEXINGTON AV,FINLNOTC,CBHCODE ,  ,846 LEXINGTON AV,VACANT  ,N,1404868,423662,010800010042      ,B201905975,31,AVONDALE,546,
CONDEMNATION,0810,866,LEXINGTON AV,CIVIL2  ,CBHCODE ,  ,866 LEXINGTON AV,VACANT  ,N,1405030,423784,010800010127      ,B201602533,31,AVONDALE,547,
VACATE THE BUILDING,0810,887,LEXINGTON AV,CIVIL2  ,CBHCODE ,  ,887 LEXINGTON AV,VACANT  ,N,1405299,423467,010800010077      ,B201705611,31,AVONDALE,548,
KEEP THE BUILDING VACANT,0810,887,LEXINGTON AV,CIVIL2  ,CBHCODE ,  ,887 LEXINGTON AV,VACANT  ,N,1405299,423467,010800010077      ,B201705611,31,AVONDALE,548,
KEEP THE BUILDING VACANT,0810,899,LEXINGTON AV,CIVIL2  ,CBHCODE ,  ,899 LEXINGTON AV,VACANT  ,N,1405459,423455,010800020016      ,B201807499,31,AVONDALE,549,
CONDEMNATION,0810,918,LEXINGTON AV,CIVIL2  ,CBHCODE ,  ,918 LEXINGTON AV,VACANT  ,N,1405814,423589,010800020008      ,B201806031,31,AVONDALE,550,
KEEP THE BUILDING VACANT,1070,2024,LEY AV,ORDERS  ,CBHCODE ,  ,2024 LEY AV,VACANT  ,N,1382566,418805,020600080113      ,B201907241,44,S FAIRMOUNT,551,
KEEP THE BUILDING VACANT,0200,442,LIBERTY HILL,ORDERS  ,CBHCODE ,  ,442 LIBERTY HILL,VACANT  ,N,1399048,411543,008600020314      ,B201706653,24,MT AUBURN,552,
KEEP THE BUILDING VACANT,0180,124,LIBERTY ST,ORDERS  ,CBHCODE ,W ,124 W LIBERTY ST,VACANT  ,N,1395740,411866,009400080019      ,B201004063,28,OVER-THE-RHINE,553,
KEEP THE BUILDING VACANT,0180,212,LIBERTY ST,ORDERS  ,CBHCODE ,W ,212 W LIBERTY ST,VACANT  ,N,1395386,411930,013300030021      ,B201806986,28,OVER-THE-RHINE,554,
KEEP THE BUILDING VACANT,0170,422,LIBERTY ST,PREPROS ,CBHCODE ,W ,422 W LIBERTY ST,VACANT  ,N,1394318,412025,013300060280      ,B201906075,15,WEST END,555,
KEEP THE BUILDING VACANT,0170,510,LIBERTY ST,ORDERS  ,CBHCODE ,W ,510 W LIBERTY ST,VACANT  ,N,1394003,412044,013300060175      ,B201903695,15,WEST END,556,
KEEP THE BUILDING VACANT,0170,514,LIBERTY ST,FINLNOTC,CBHCODE ,W ,514 W LIBERTY ST,VACANT  ,N,1393970,412040,013300060174      ,B201807342,15,WEST END,557,
KEEP THE BUILDING VACANT,0170,516,LIBERTY ST,CIVIL1  ,CBHCODE ,W ,516 W LIBERTY ST,VACANT  ,N,1393962,412064,013300060173      ,B201504748,15,WEST END,558,
KEEP THE BUILDING VACANT,1150,4002,LIBERTY ST,ORDERS  ,CBHCODE ,W ,4002 W LIBERTY ST,VACANT  ,N,1378637,413715,018100010368      ,B201707215,46,WEST PRICE HILL,559,
KEEP THE BUILDING VACANT,1040,2571,LIDDELL ST,CIVIL2  ,CBHCODE ,  ,2571 LIDDELL ST,VACANT  ,N,1387994,418623,020200330181      ,B200801617,44,N FAIRMONT-ENGLISH WOODS,560,
CONDEMNATION,1040,2608,LIDDELL ST,ORDERS  ,CBHCODE ,  ,2608 LIDDELL ST,VACANT  ,N,1387924,418980,020200330136      ,B201904104,3,N FAIRMONT-ENGLISH WOODS,561,
CONDEMNATION,1040,2614,LIDDELL ST,FINLNOTC,CBHCODE ,  ,2614 LIDDELL ST,VACANT  ,N,1387894,419057,020200330139      ,B201610293,3,N FAIRMONT-ENGLISH WOODS,562,
CONDEMNATION,0920,1916,LILLIE PL,FINLNOTC,CBHCODE ,  ,1916 LILLIE PL,VACANT  ,N,1386556,425288,019200670014      ,B201707598,7,S CUMMINSVILLE-MILLVALE,563,
KEEP THE BUILDING VACANT,0440,842,LINCOLN AV,FINLNOTC,CBHCODE ,  ,842 LINCOLN AV,VACANT  ,N,1404207,418682,006500020153      ,B201903271,29,WALNUT HILLS,564,
KEEP THE BUILDING VACANT,0440,844,LINCOLN AV,CIVIL1  ,CBHCODE ,  ,844 LINCOLN AV,VACANT  ,N,1404247,418674,006500020152      ,B201609323,29,WALNUT HILLS,565,
KEEP THE BUILDING VACANT,0430,855,LINCOLN AV,VSUSPEND,CBHCODE ,  ,855 LINCOLN AV,VACANT  ,N,1404297,418502,006500020124      ,B201805344,29,WALNUT HILLS,566,
CONDEMNATION,0440,924,LINCOLN AV,DUPLICAT,CBHCODEC,  ,924 LINCOLN AV,VACANT  ,N,1404915,418668,006600030062      ,BC20170501,29,WALNUT HILLS,567,
KEEP THE BUILDING VACANT,0450,933,LINCOLN AV,ORDERS  ,CBHCODEC,  ,933 LINCOLN AV,VACANT  ,N,1404823,418499,006600030028      ,BC20190170,29,WALNUT HILLS,568,
KEEP THE BUILDING VACANT,0440,1216,LINCOLN AV,ORDERS  ,CBHCODE ,  ,1216 LINCOLN AV,VACANT  ,N,1406044,418627,006600020222      ,B201907394,29,WALNUT HILLS,569,
CONDEMNATION,0440,1222,LINCOLN AV,ORDERS  ,CBHCODE ,  ,1222 LINCOLN AV,VACANT  ,N,1406114,418623,006600020225      ,B201907395,29,WALNUT HILLS,570,
CONDEMNATION,0450,1223,LINCOLN AV,PREPROS ,CBHCODEC,  ,1223 LINCOLN AV,VACANT  ,N,1406109,418489,006600020142      ,BC20180646,29,WALNUT HILLS,571,
CONDEMNATION,0440,1224,LINCOLN AV,ORDERS  ,CBHCODE ,  ,1224 LINCOLN AV,VACANT  ,N,1406152,418618,006600020227      ,B201907396,29,WALNUT HILLS,572,
KEEP THE BUILDING VACANT,0450,1225,LINCOLN AV,DUPLICAT,CBHCODE ,  ,1225 LINCOLN AV,VACANT  ,N,1406148,418482,006600020213      ,B201903894,29,WALNUT HILLS,573,
KEEP THE BUILDING VACANT,0500,1805,FAIRFAX AV,FINLNOTC,CBHCODE ,  ,1805 FAIRFAX AV,VACANT  ,N,1409191,419537,005400010116      ,B201903494,11,EVANSTON-E WALNUT HILLS,574,
KEEP THE BUILDING VACANT,0500,1809,FAIRFAX AV,FINLNOTC,CBHCODE ,  ,1809 FAIRFAX AV,VACANT  ,N,1409240,419535,005400010050      ,B201903495,11,EVANSTON-E WALNUT HILLS,575,
CONDEMNATION,0480,1818,FAIRFAX AV,HAZARD  ,CBHCODE ,  ,1818 FAIRFAX AV,VACANT  ,N,1409318,419694,005400010026      ,B201601698,11,EVANSTON,576,
KEEP THE BUILDING VACANT,0480,3219,FAIRFIELD AV,FINLNOTC,CBHCODE ,  ,3219 FAIRFIELD AV,VACANT  ,N,1409068,419907,005500040125      ,B201705696,11,EVANSTON,577,
KEEP THE BUILDING VACANT,0480,3244,FAIRFIELD AV,ORDERS  ,CBHCODEC,  ,3244 FAIRFIELD AV,VACANT  ,N,1409240,420305,005400040178      ,BC20170674,11,EVANSTON,578,
KEEP THE BUILDING VACANT,0480,3306,FAIRFIELD AV,VSUSPEND,CBHCODE ,  ,3306 FAIRFIELD AV,VACANT  ,N,1409251,420444,005400040049      ,B201808021,11,EVANSTON,579,
CONDEMNATION,0480,3316,FAIRFIELD AV,PETITION,CBHCODE ,  ,3316 FAIRFIELD AV,VACANT  ,N,1409287,420578,005400040039      ,B201903026,11,EVANSTON,580,
CONDEMNATION,0470,3349,FAIRFIELD AV,HAZARD  ,CBHCODE ,  ,3349 FAIRFIELD AV,VACANT  ,N,1409184,420987,005400050123      ,B201205995,11,EVANSTON,581,
CONDEMNATION,1040,1717,FAIRMOUNT AV,FINLNOTC,CBHCODE ,  ,1717 FAIRMOUNT AV,VACANT  ,N,1386896,418026,020200310184      ,B201707426,44,N FAIRMONT-ENGLISH WOODS,582,
CONDEMNATION,1040,1740,FAIRMOUNT AV,PETITION,CBHCODE ,  ,1740 FAIRMOUNT AV,VACANT  ,N,1386582,418209,020200410155      ,B201903601,44,N FAIRMONT-ENGLISH WOODS,583,
KEEP THE BUILDING VACANT,1040,1743,FAIRMOUNT AV,CIVIL1  ,CBHCODE ,  ,1743 FAIRMOUNT AV,VACANT  ,N,1386506,418063,020300300005      ,B201802600,44,N FAIRMONT-ENGLISH WOODS,584,
CONDEMNATION,1040,1752,FAIRMOUNT AV,VSUSPEND,CBHCODE ,  ,1752 FAIRMOUNT AV,VACANT  ,N,1386418,418226,020200420063      ,B201806953,44,N FAIRMONT-ENGLISH WOODS,585,
KEEP THE BUILDING VACANT,1040,1767,FAIRMOUNT AV,VSUSPEND,CBHCODE ,  ,1767 FAIRMOUNT AV,VACANT  ,N,1386176,418111,020300300175      ,B201602177,44,N FAIRMONT-ENGLISH WOODS,586,
KEEP THE BUILDING VACANT,1070,1853,FAIRMOUNT AV,PETITION,CBHCODE ,  ,1853 FAIRMOUNT AV,VACANT  ,N,1385054,418221,020300280086      ,B201806908,44,S FAIRMOUNT,587,
KEEP THE BUILDING VACANT,1070,1853,FAIRMOUNT AV,DUPLICAT,CBHCODE ,  ,1853 FAIRMOUNT AV,VACANT  ,N,1385054,418221,020300280086      ,B201702366,44,S FAIRMOUNT,588,
KEEP THE BUILDING VACANT,1040,1854,FAIRMOUNT AV,ORDERS  ,CBHCODE ,  ,1854 FAIRMOUNT AV,VACANT  ,N,1385026,418388,020600050237      ,B201903086,3,N FAIRMONT-ENGLISH WOODS,589,
CONDEMNATION,1070,1865,FAIRMOUNT AV,ORDERS  ,CBHCODE ,  ,1865 FAIRMOUNT AV,VACANT  ,N,1384881,418247,020300280079      ,B201903364,44,S FAIRMOUNT,590,
KEEP THE BUILDING VACANT,1070,1871,FAIRMOUNT AV,ORDERS  ,CBHCODE ,  ,1871 FAIRMOUNT AV,VACANT  ,N,1384831,418255,020300280077      ,B201903702,44,S FAIRMOUNT,591,
CONDEMNATION,1070,1883,FAIRMOUNT AV,ORDERS  ,CBHCODE ,  ,1883 FAIRMOUNT AV,VACANT  ,N,1384657,418268,020300280070      ,B201903367,44,S FAIRMOUNT,592,
KEEP THE BUILDING VACANT,1070,1883,FAIRMOUNT AV,ORDERS  ,CBHCODE ,  ,1883 FAIRMOUNT AV,VACANT  ,N,1384657,418268,020300280070      ,B201904254,44,S FAIRMOUNT,593,
